"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"VSTR_LBL_TP_TO_SEL_PLAYERS","Teleport Selected Player(s)","Teleport Selected Player(s)","Teleportovat vybraného/é hráče","Ausgewählten Spieler/Spieler teleportieren","Телепортировать выбранного(ых) игрока(ов)","Teleportuj wybranego(-ych) gracza(-y)","Kiválasztott játékos(ok) teleportálása","Teletrasporta giocatore/i selezionato/i","Teletransportar jugador(es) seleccionado(s)","Téléporter le(s) joueur(s) sélectionné(s)","傳送所選玩家","選択したプレイヤーをテレポート","Teletransportar jogador(es) selecionado(s)","传送所选玩家",
"VSTR_LBL_TP_TO_POS","Teleport to Position","Teleport to Position","Teleportovat na pozici","Zu Position teleportieren","Телепортироваться на позицию","Teleportuj na pozycję","Teleportálás pozícióra","Teletrasportati alla posizione","Teletransportarse a la posición","Se téléporter à la position","傳送至位置","位置へテレポート","Teletransportar para a posição","传送至位置",
"VSTR_LBL_NEW_TP_POS_ATTS","NEW POSITION ATTRIBUTES","NEW POSITION ATTRIBUTES","NOVÉ ATRIBUTY POZICE","NEUE POSITIONS-ATTRIBUTE","АТРИБУТЫ НОВОЙ ПОЗИЦИИ","NOWE ATRYBUTY POZYCJI","ÚJ POZÍCIÓ ATTRIBÚTUMAI","NUOVI ATTRIBUTI POSIZIONE","NUEVOS ATRIBUTOS DE POSICIÓN","NOUVEAUX ATTRIBUTS DE POSITION","新位置屬性","新しい位置の属性","NOVOS ATRIBUTOS DE POSIÇÃO","新位置属性",
"VSTR_LBL_POS","Position:","Position:","Pozice:","Position:","Позиция:","Pozycja:","Pozíció:","Posizione:","Posición:","Position:","位置:","位置:","Posição:","位置:",
"VSTR_WEATHER_MANAGER","WEATHER MANAGER","WEATHER MANAGER","SPRÁVCE POČASÍ","WETTER-MANAGER","МЕНЕДЖЕР ПОГОДЫ","MENEDŻER POGODY","IDŐJÁRÁS KEZELŐ","GESTORE METEO","GESTOR DEL CLIMA","GESTIONNAIRE MÉTÉO","天氣管理器","天気マネージャー","GERENCIADOR DO CLIMA","天气管理器",
"VSTR_LBL_PRESETS","Presets","Presets","Presety","Presets","Пресеты","Presety","Presetek","Preset","Presets","Presets","預設","プリセット","Presets","预设",
"VSTR_LBL_INFORMATION","Information","Information","Informace","Informationen","Информация","Informacje","Információ","Informazioni","Información","Informations","資訊","情報","Informações","信息",
"VSTR_LBL_TIME","Time:","Time:","Čas:","Zeit:","Время:","Czas:","Idő:","Ora:","Hora:","Heure:","小時:","時間:","Hora:","时间:",
"VSTR_LBL_DATE","Date:","Date:","Datum:","Datum:","Дата:","Data:","Dátum:","Data:","Fecha:","Date:","日期:","日付:","Data:","日期:",
"VSTR_LBL_RAIN","Rain:","Rain:","Déšť:","Regen:","Дождь:","Deszcz:","Eső:","Pioggia:","Lluvia:","Pluie:","降雨:","雨:","Chuva:","降雨:",
"VSTR_LBL_OVERCAST","Overcast:","Overcast:","Zataženo:","Bewölkung:","Облачность:","Zachmurzenie:","Felhőzet:","Nebulosità:","Nubosidad:","Nébulosité:","雲量:","雲量:","Nebulosidade:","云量:",
"VSTR_LBL_FOG","Fog:","Fog:","Mlha:","Nebel:","Туман:","Mgła:","Köd:","Nebbia:","Niebla:","Brouillard:","霧:","霧:","Névoa:","雾:",
"VSTR_LBL_WIND_FORCE","Wind Force:","Wind Force:","Síla větru:","Windstärke:","Сила ветра:","Siła wiatru:","Szél erőssége:","Forza del vento:","Fuerza del viento:","Force du vent:","風力:","風力:","Força do vento:","风力:",
"VSTR_LBL_WORLD_TIME","World Time","World Time","World Time","Weltzeit","World Time","World Time","World Time","World Time","World Time","World Time","World Time","World Time","World Time","世界时间",
"VSTR_LBL_HOUR","Hour:","Hour:","Hodina:","Stunde:","Час:","Godzina:","Óra:","Ora:","Hora:","Heure:","小時:","時:","Hora:","小时:",
"VSTR_LBL_MINUTE","Minute:","Minute:","Minuta:","Minute:","Минута:","Minuta:","Perc:","Minuto:","Minuto:","Minute:","分鐘:","分:","Minuto:","分钟:",
"VSTR_LBL_DAY","Day:","Day:","Den:","Tag:","День:","Dzień:","Nap:","Giorno:","Día:","Jour:","日:","日:","Dia:","日:",
"VSTR_LBL_MONTH","Month:","Month:","Měsíc:","Monat:","Месяц:","Miesiąc:","Hónap:","Mese:","Mes:","Mois:","月:","月:","Mês:","月:",
"VSTR_LBL_YEAR","Year:","Year:","Rok:","Jahr:","Год:","Rok:","Év:","Anno:","Año:","Année:","年:","年:","Ano:","年份:",
"VSTR_LBL_APPLY_PRESET","Apply Preset","Apply Preset","Aplikovat preset","Preset anwenden","Применить пресет","Zastosuj preset","Preset alkalmazása","Applica preset","Aplicar preset","Appliquer preset","套用預設","プリセットを適用","Aplicar preset","应用预设",
"VSTR_LBL_USE_CURRENT_TIME","Use Current Time","Use Current Time","Použít aktuální čas","Aktuelle Zeit verwenden","Текущее время","Use Current Time","Use Current Time","Use Current Time","Use Current Time","Use Current Time","Use Current Time","Use Current Time","Use Current Time","使用当前时间",
"VSTR_LBL_DELETE_W_PRESET","Delete Preset","Delete Preset","Smazat preset","Preset löschen","Удалить пресет","Usuń preset","Preset törlése","Elimina preset","Eliminar preset","Supprimer preset","刪除預設","プリセットを削除","Excluir preset","删除预设",
"VSTR_LBL_ENTER_NAME","Enter Name","Enter Name","Zadejte název","Name eingeben","Введите имя","Wpisz nazwę","Név megadása","Inserisci nome","Introducir nombre","Saisir un nom","輸入名稱","名前を入力","Inserir nome","输入名称",
"VSTR_LBL_WEATHER_CONFG","Weather Configuration","Weather Configuration","Konfigurace počasí","Wetterkonfiguration","Конфигурация погоды","Konfiguracja pogody","Időjárás konfiguráció","Configurazione meteo","Configuración del clima","Configuration météo","天氣設定","天気設定","Configuração de clima","天气设置",
"VSTR_LBL_RATE_OF_CHANGE","Rate Of Change:","Rate Of Change:","Rychlost změny:","Änderungsrate:","Скорость изменения:","Szybkość zmian:","Változás üteme:","Tasso di variazione:","Tasa de cambio:","Taux de variation:","變化速率:","変化率:","Taxa de variação:","变化速率:",
"VSTR_LBL_DURATION","Duration:","Duration:","Doba trvání:","Dauer:","Длительность:","Czas trwania:","Időtartam:","Durata:","Duración:","Durée:","持續時間:","持続時間:","Duração:","持续时间:",
"VSTR_WEB_HOOKS_MANAGER_TITLE","WebHooks Manager","WebHooks Manager","Správce WebHooks","WebHooks-Manager","Менеджер WebHooks","Menedżer WebHooks","WebHooks kezelő","Gestore WebHooks","Gestor de WebHooks","Gestionnaire WebHooks","WebHooks 管理器","WebHooks マネージャー","Gerenciador de WebHooks","WebHooks 管理器",
"VSTR_LBL_WEBHOOKS","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks","WebHooks",
"VSTR_LBL_WEBHOOKS_ATTS","WebHook Attributes","WebHook Attributes","Atributy WebHooku","WebHook-Attribute","Атрибуты WebHook","Atrybuty WebHook","WebHook attribútumok","Attributi WebHook","Atributos del WebHook","Attributs WebHook","WebHook 屬性","WebHook 属性","Atributos do WebHook","WebHook 属性",
"VSTR_LBL_SEND_DEATH_LOGS","Send Kill / Death logs","Send Kill / Death logs","Odesílat logy Kill/Death","Kill-/Death-Logs senden","Отправлять логи убийств/смертей","Wysyłaj logi Kill/Death","Kill/Death logok küldése","Invia log di Kill/Death","Enviar logs de Kill/Death","Envoyer les logs Kill / Mort","送出擊殺/死亡日誌","Kill/Death ログを送信","Enviar logs de Kill/Death","发送 Kill/Death 日志",
"VSTR_LBL_SIMPLIFIED_LOGS","Simplified message format","Simplified message format","Zjednodušený formát zpráv","Vereinfachtes Nachrichtenformat","Упрощённый формат сообщений","Uproszczony format wiadomości","Egyszerűsített üzenetformátum","Formato messaggio semplificato","Formato de mensaje simplificado","Format de message simplifié","簡化訊息格式","簡易メッセージ形式","Formato de mensagem simplificado","简化消息格式",
"VSTR_LBL_SEND_ADMIN_LOGS","Send Admin Activity Logs","Send Admin Activity Logs","Odesílat logy aktivity admina","Admin-Aktivitätslogs senden","Отправлять логи активности админа","Wysyłaj logi aktywności admina","Admin aktivitás logok küldése","Invia log attività admin","Enviar logs de actividad de admin","Envoyer les logs d'activité admin","送出管理員活動日誌","管理者アクティビティログを送信","Enviar logs de atividade de admin","发送管理员活动日志",
"VSTR_LBL_SEND_HIT_LOGS","Send Player Hit / Damage Logs","Send Player Hit / Damage Logs","Odesílat logy zásahů/poškození hráčů","Spieler-Treffer-/Schaden-Logs senden","Отправлять логи попаданий/урона игрока","Wysyłaj logi trafień/obrażeń gracza","Játékos találat/sebzés logok küldése","Invia log colpi/danni giocatore","Enviar logs de impactos/daño del jugador","Envoyer les logs coups/dégâts des joueurs","送出玩家擊中/傷害日誌","プレイヤーの命中/ダメージログを送信","Enviar logs de acerto/dano de jogador","发送玩家命中/伤害日志",
"VSTR_LBL_SEND_PLAYER_LEAVE_JOIN_LOGS","Send Player Join / Leave Logs","Send Player Join / Leave Logs","Odesílat logy připojení/odpojení hráčů","Spieler-Join-/Leave-Logs senden","Отправлять логи входа/выхода игроков","Wysyłaj logi dołączania/opuszczania przez graczy","Játékos csatlakozás/elhagyás logok küldése","Invia log entrata/uscita giocatori","Enviar logs de entrada/salida de jugadores","Envoyer les logs arrivé/départ des joueurs","送出玩家連線/斷線日誌","プレイヤーの入退室ログを送信","Enviar logs de entrada/saída de jogadores","发送玩家连接/断开日志",
"VSTR_LBL_URL","URL:","URL:","URL:","URL:","URL:","URL:","URL:","URL:","URL:","URL:","URL:","URL:","URL:","网址:",
"VSTR_LBL_WEBHOOKS_TIP","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Currently only Discord WebHooks are supported as the requests format (json) are suited for Discord","Momentálně jsou podporovány pouze Discord WebHooky, protože formát požadavků (json) je uzpůsoben pro Discord","Derzeit werden nur Discord WebHooks unterstützt, da das Anforderungsformat (json) für Discord geeignet ist","В настоящее время поддерживаются только Discord WebHooks, так как формат запросов (json) подходит для Discord","Obecnie obsługiwane są tylko Discord WebHooks, ponieważ format żądań (json) pasuje do Discorda","Jelenleg csak a Discord WebHooks támogatott, mivel a kérésformátum (json) a Discordhoz igazodik","Al momento sono supportati solo i Discord WebHooks perché il formato delle richieste (json) è adatto a Discord","Actualmente solo se admiten Discord WebHooks porque el formato de solicitud (json) se adapta a Discord","Actuellement seuls les Discord WebHooks sont pris en charge car le format de requête (json) convient à Discord","目前僅支援 Discord WebHooks，因為請求格式（json）是為 Discord 設計","現在は Discord WebHooks のみ対応（リクエスト形式（json）が Discord 向けのため）","Atualmente apenas Discord WebHooks são suportados, pois o formato de requisição (json) se adequa ao Discord","目前仅支持 Discord WebHooks，因为请求格式（json）是为 Discord 设计",
"VSTR_LBL_CREATE_NEW_PRESET","Create New","Create New","Vytvořit nový","Neu erstellen","Создать новый","Utwórz nowy","Új létrehozása","Crea nuovo","Crear nuevo","Créer un nouveau","建立新的","新規作成","Criar novo","创建新的",
"VSTR_LBL_PLEASE_WAIT","Please wait...","Please wait...","Prosím čekejte...","Bitte warten...","Пожалуйста, подождите...","Proszę czekać...","Kérlek várj...","Attendere prego...","Por favor espera...","Veuillez patienter...","請稍候...","しばらくお待ちください...","Aguarde...","请稍候...",
"VSTR_LBL_APPLY_CHANGES","Apply Changes","Apply Changes","Aplikovat změny","Änderungen anwenden","Применить изменения","Zastosuj zmiany","Változtatások alkalmazása","Applica modifiche","Aplicar cambios","Sauver modifications","套用變更","変更を適用","Aplicar alterações","应用更改",
"VSTR_LBL_LOAD_SELECTED","Load Selected","Load Selected","Načíst vybrané","Auswahl laden","Загрузить выбранное","Wczytaj wybrane","Kiválasztott betöltése","Carica selezionato","Cargar seleccionado","Charger la sélection","載入所選","選択を読み込み","Carregar selecionado","加载所选",
"VSTR_LBL_GET_ITEM_STATS","Get Item Stats","Get Item Stats","Získat statistiky položky","Item-Statistiken abrufen","Получить статистику предмета","Pobierz statystyki przedmiotu","Tárgy statisztikák lekérése","Ottieni statistiche oggetto","Obtener estadísticas de objeto","Avoir les stats de l'objet","取得物品統計","アイテム統計を取得","Obter estatísticas do item","获取物品统计",
"VSTR_XML_EDITOR_TITLE","XML Editor","XML Editor","XML Editor","XML-Editor","XML‑редактор","Edytor XML","XML szerkesztő","Editor XML","Editor XML","Éditeur XML","XML 編輯器","XML エディタ","Editor XML","XML 编辑器",
"VSTR_XML_MENU_TOOLTIP","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles<br/>No server restart is required the file will be picked up by the system","Pokud se vám ze serveru zobrazují hodnoty jako „nedefinované“, ujistěte se, že jste zkopírovali soubor type.xml z vaší mise do složky VPPAdminTools/Export/, která se nachází ve vašich profilech.<br/>Restart serveru není nutný, soubor systém načte.","Wenn Sie vom Server Werte als „nicht definiert“ zurückerhalten, stellen Sie sicher, dass Sie die Datei „type.xml“ aus Ihrer Mission in den Ordner „VPPAdminTools/Export/“ in Ihren Profilen kopiert haben.<br/>Ein Serverneustart ist nicht erforderlich; die Datei wird vom System erkannt.","Если вы получаете значения от сервера как «не определенные», убедитесь, что вы скопировали файл type.xml из вашей миссии в папку VPPAdminTools/Export/, расположенную в ваших профилях.<br/>Перезагрузка сервера не требуется, файл будет принят системой.","Jeśli otrzymujesz wartości z serwera jako „niezdefiniowane”, upewnij się, że skopiowałeś plik type.xml ze swojej misji do folderu VPPAdminTools/Export/ znajdującego się w Twoich profilach.<br/>Nie jest wymagane ponowne uruchomienie serwera, plik zostanie pobrany przez system.","Ha a szerverről „nincs definiálva” értékeket kapsz vissza, akkor győződj meg róla, hogy átmásoltad a type.xml fájlt a küldetésedből a profiljaidban található VPPAdminTools/Export/ mappába.<br/>Nincs szükség a szerver újraindítására, a fájlt a rendszer fogja feldolgozni.","Se ricevi valori dal server come non definiti, assicurati di aver copiato il file type.xml dalla tua missione nella cartella VPPAdminTools/Export/ situata nei tuoi profili.<br/>Non è necessario riavviare il server, il file verrà prelevato dal sistema.","Si el servidor devuelve valores como «no definidos», asegúrese de haber copiado el archivo type.xml de su misión a la carpeta VPPAdminTools/Export/ ubicada en sus perfiles.<br/>No es necesario reiniciar el servidor; el sistema detectará el archivo.","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles<br/>No server restart is required the file will be picked up by the system","If you are getting values back from the server as 'not defined' then make sure you have copied over the type.xml file from your mission to VPPAdminTools/Export/ folder located in your profiles<br/>No server restart is required the file will be picked up by the system","若您從伺服器收到「not defined」之類的值，請確保已將您的任務中的 type.xml 複製到設定檔中的 VPPAdminTools/Export/ 資料夾<br/>不需要重新啟動伺服器；系統會載入該檔案","サーバーから「not defined」などの値が返る場合は、ミッションの type.xml をプロファイルの VPPAdminTools/Export/ フォルダにコピーしたか確認してください<br/>サーバーの再起動は不要です。システムがファイルを検出します","Se você está recebendo do servidor valores como 'not defined', certifique‑se de ter copiado o arquivo type.xml da sua missão para a pasta VPPAdminTools/Export/ no seu perfil<br/>Não é necessário reiniciar o servidor: o sistema detectará o arquivo","若您从服务器收到"not defined"之类的值，请确保已将任务中的 type.xml 复制到配置文件中的 VPPAdminTools/Export/ 文件夹<br/>不需要重启服务器；系统会加载该文件",
